dcp,dcp,141.77,92.56
dcrB,dcrB,389.86,375.75
dctA,dctA,107.56,147.15
dctR,slp-dctR,1812.53,2216.28
dcuA,dcuA,35.44,57.14
dcuA,aspA-dcuA,35.44,57.14
dcuB,dcuB-fumB,29.49,50.44
dcuC,dcuC,33.29,58.56
dcuD,dcuD,168.66,168.1
dcuR,dcuSR,659.21,638.77
dcuR,dcuR,659.21,638.77
dcuS,dcuSR,60.59,99.46
dcyD,dcyD-yecSC,53.43,34.26
ddlA,ddlA,2528.49,3391
ddlB,mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,7.16,29.37
ddlB,mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,7.16,29.37
ddlB,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,7.16,29.37
ddpA,ddpXABCDF,59.5,82.85
ddpB,ddpXABCDF,19.33,33.06
ddpC,ddpXABCDF,88.19,98.02
ddpD,ddpXABCDF,46.75,34.26
ddpF,ddpXABCDF,3185.84,2509.85
ddpX,ddpXABCDF,0,34.86
deaD,deaD,118.59,257.66
deaD,yrbN-deaD,118.59,257.66
dedA,dedA,69.92,81.98
dedA,usg-truA-dedA,69.92,81.98
dedA,pdxB-usg-truA-dedA,69.92,81.98
dedD,dedD,9.94,10.2
dedD,folC-dedD,9.94,10.2
def,def-fmt,25.85,26.52
degP,degP,46.26,75.94
degQ,degQS,24.09,64.27
degS,degQS,154.31,227.98
deoA,deoCABD,89.69,97.13
deoA,deoA,89.69,97.13
deoB,deoCABD,59.24,44.21
deoB,deoBD,59.24,44.21
deoB,deoA,59.24,44.21
deoC,deoCABD,8.45,52.03
deoD,deoBD,54.93,56.36
deoD,deoA,54.93,56.36
deoD,deoCABD,54.93,56.36
deoR,deoR,851.16,793.08
der,bamB-der,147.69,119.38
dfp,dfp,32.39,22.16
dgkA,dgkA,2661.86,3005.99
dgoA,dgoRKADT,0,10.94
dgoD,dgoRKADT,17.21,41.2
dgoR,dgoRKADT,38.22,29.41
dgsA,dgsA-ynfK,248.35,293.58
dgsA,dgsA,248.35,293.58
dgt,dgt,65.14,53.47
dhaK,dhaKLM,6.16,44.21
